"COUNTOFCATALOGEDITEM","LINKTOSPECIMENS","PHYLORDER"
"3415","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Accipitriformes","Accipitriformes"
"4","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Acipenseriformes","Acipenseriformes"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Aepyornithiformes","Aepyornithiformes"
"149","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Afrosoricida","Afrosoricida"
"3","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Amiiformes","Amiiformes"
"6","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Amphioxiformes","Amphioxiformes"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Anaspida","Anaspida"
"4477","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Anseriformes","Anseriformes"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Anseriformes%2C%20Gruiformes","Anseriformes, Gruiformes"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Antiarchi","Antiarchi"
"54167","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Anura","Anura"
"5","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Aplousobranchia","Aplousobranchia"
"599","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Apodiformes","Apodiformes"
"7","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Apterygiformes","Apterygiformes"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Arthrodira","Arthrodira"
"2312","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Artiodactyla","Artiodactyla"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Batoidea","Batoidea"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Batrachoidiformes","Batrachoidiformes"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Beryciformes","Beryciformes"
"46","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Bucerotiformes","Bucerotiformes"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Caldodontiformes","Caldodontiformes"
"5614","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Caprimulgiformes","Caprimulgiformes"
"11064","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Carnivora","Carnivora"
"29","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Casuariiformes","Casuariiformes"
"168","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Cathartiformes","Cathartiformes"
"111408","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Caudata","Caudata"
"275","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Cetacea","Cetacea"
"3","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Characiformes","Characiformes"
"15505","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Charadriiformes","Charadriiformes"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Chimaeriformes","Chimaeriformes"
"23581","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Chiroptera","Chiroptera"
"37","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Ciconiiformes","Ciconiiformes"
"65","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Cingulata","Cingulata"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Climatiformes","Climatiformes"
"19","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Coliiformes","Coliiformes"
"2035","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Columbiformes","Columbiformes"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Condylarthra","Condylarthra"
"907","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Coraciiformes","Coraciiformes"
"41","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Crocodilia","Crocodilia"
"26","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Crocodylia","Crocodylia"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Crossopterygii","Crossopterygii"
"905","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Cuculiformes","Cuculiformes"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Cypriniformes","Cypriniformes"
"206","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Dasyuromorphia","Dasyuromorphia"
"7","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Dermoptera","Dermoptera"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Desmostylia","Desmostylia"
"1650","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Didelphimorphia","Didelphimorphia"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Dinornithiformes","Dinornithiformes"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Dinorthiformes","Dinorthiformes"
"4","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Dipnoi","Dipnoi"
"883","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Diprotodontia","Diprotodontia"
"65","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Erinaceomorpha","Erinaceomorpha"
"6","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Eurypygiformes","Eurypygiformes"
"1432","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Falconiformes","Falconiformes"
"4670","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Galliformes","Galliformes"
"392","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Gaviiformes","Gaviiformes"
"1639","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Gruiformes","Gruiformes"
"1005","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Gymnophiona","Gymnophiona"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Heterostraci","Heterostraci"
"37","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Hyracoidea","Hyracoidea"
"2","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Ichthyosauria","Ichthyosauria"
"3652","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Lagomorpha","Lagomorpha"
"5","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Lamniformes","Lamniformes"
"1","http://arctos.database.museum/SpecimenResults.cfm?guid_prefix=MVZ:Herp,MVZ:Hild,MVZ:Egg,MVZ:Bird,MVZ:Mamm&scientific_name_match_type=exact&phylorder==Lepisosteiformes","Lepisosteiformes"
